"Item Id","Sold Date","Canceled Date","Completed Date","Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Penalty Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m70646524431","2020-10-11","","2020-10-16","Kate Spade Christmas Towel Set","Completed","California","California","15.00","4.99","0.00","1.50","0.74","0.00","0.00","12.76","1.39","0.00","0.00","0.00","0.00"
"m95049121479","2020-10-11","","2020-10-17","Vintage CULVER MCM Glasses","Completed","Alabama","California","40.00","9.99","0.00","4.00","0.00","0.00","0.00","36.00","3.20","0.00","0.00","0.00","0.00"
"m14440686318","2020-10-12","","2020-10-18","MEOW and PURR Pet Bowls","Completed","Michigan","California","19.00","9.99","0.00","1.90","0.85","0.00","0.00","16.25","1.74","0.00","0.00","0.00","0.00"
"m76172767277","2020-10-12","","2020-10-18","French Script Storage Bundle","Completed","South Carolina","California","55.00","17.00","0.00","5.50","1.90","0.00","0.00","47.60","4.32","0.00","0.00","0.00","0.00"
"m93826422253","2020-10-12","","2020-10-20","Jo Malone Fig & Lotus Flower Cologne","Completed","Maryland","California","18.00","3.49","0.00","1.80","0.00","0.00","0.00","16.20","1.08","0.00","0.00","0.00","0.00"
"m79136958714","2020-10-15","","2020-10-21","The BIG Book Of JUICES","Completed","New York","California","15.00","0.00","9.99","1.50","0.00","0.00","0.00","3.51","1.33","0.00","0.00","0.00","0.00"
"m67771891120","2020-10-18","","2020-10-22","Rae Dunn Bundle - RESERVED","Completed","Michigan","California","45.00","9.99","0.00","4.50","1.61","0.00","0.00","38.89","3.30","0.00","0.00","0.00","0.00"
"m33635960099","2020-10-19","","2020-10-22","NWT Dog XS Christmas Dog Sweater","Completed","New York","California","8.00","3.49","0.00","0.80","0.53","0.00","0.00","6.67","0.92","0.00","0.00","0.00","0.00"
"m62286947773","2020-10-17","","2020-10-25","Tartlette makeup palette","Completed","New York","California","11.00","4.60","0.00","1.10","0.00","0.00","0.00","9.90","1.38","0.00","0.00","0.00","0.00"
"m34260898625","2020-10-20","","2020-10-26","Parfums De Marly Delina 2.5 oz","Completed","Louisiana","California","155.00","9.99","0.00","15.50","0.00","0.00","0.00","139.50","14.35","0.00","0.00","0.00","0.00"
"m56711341176","2020-10-23","","2020-10-27","Eiffel Tower Hanger Door Rack","Completed","California","California","12.00","9.99","0.00","1.20","0.65","0.00","0.00","10.15","1.17","0.00","0.00","0.00","0.00"
"m61192091079","2020-10-24","","2020-10-28","Eiffel Tower Vanity Tray","Completed","California","California","14.00","9.99","0.00","1.40","0.71","0.00","0.00","11.89","1.37","0.00","0.00","0.00","0.00"
"m56143210066","2020-10-19","","2020-10-28","Vintage Cloisonne Set","Completed","New York","California","25.00","9.99","0.00","2.50","1.03","0.00","0.00","21.47","3.02","0.00","0.00","0.00","0.00"
"m77274780786","2020-10-23","","2020-10-30","Rae Dunn Gravy Boat","Completed","New York","California","11.00","9.99","0.00","1.10","0.62","0.00","0.00","9.28","1.81","0.00","0.00","0.00","0.00"
